Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0063/1525] steps=6,193,152 | rew=0.07720 | loss=0.1992 | sps=7,121 | ent=0.0089 | log_std=-1.847 | t=1183s stepping
[0064/1525] steps=6,291,456 | rew=0.07853 | loss=0.1943 | sps=7,197 | ent=0.0089 | log_std=-1.844 | t=1197s stepping
[0065/1525] steps=6,389,760 | rew=0.07871 | loss=0.2015 | sps=7,185 | ent=0.0088 | log_std=-1.841 | t=1210s stepping
[0066/1525] steps=6,488,064 | rew=0.07903 | loss=0.1998 | sps=7,167 | ent=0.0088 | log_std=-1.839 | t=1224s stepping
[0067/1525] steps=6,586,368 | rew=0.07891 | loss=0.2009 | sps=7,177 | ent=0.0088 | log_std=-1.836 | t=1238s stepping
[0068/1525] steps=6,684,672 | rew=0.07838 | loss=0.1973 | sps=7,165 | ent=0.0088 | log_std=-1.833 | t=1252s stepping
[0069/1525] steps=6,782,976 | rew=0.07770 | loss=0.2055 | sps=7,124 | ent=0.0088 | log_std=-1.830 | t=1265s stepping
[0070/1525] steps=6,881,280 | rew=0.07757 | loss=0.1935 | sps=7,038 | ent=0.0088 | log_std=-1.827 | t=1279s stepping
[0071/1525] steps=6,979,584 | rew=0.07772 | loss=0.1956 | sps=7,124 | ent=0.0087 | log_std=-1.824 | t=1293s stepping
[0072/1525] steps=7,077,888 | rew=0.07839 | loss=0.1905 | sps=7,168 | ent=0.0087 | log_std=-1.822 | t=1307s stepping
[0073/1525] steps=7,176,192 | rew=0.07942 | loss=0.1855 | sps=7,168 | ent=0.0087 | log_std=-1.819 | t=1321s stepping
[0074/1525] steps=7,274,496 | rew=0.07998 | loss=0.1803 | sps=7,166 | ent=0.0087 | log_std=-1.817 | t=1334s stepping
[0075/1525] steps=7,372,800 | rew=0.08004 | loss=0.1791 | sps=7,171 | ent=0.0087 | log_std=-1.815 | t=1348s *** BALANCED WALKING ***
[0076/1525] steps=7,471,104 | rew=0.07959 | loss=0.1778 | sps=7,183 | ent=0.0087 | log_std=-1.813 | t=1362s stepping
[0077/1525] steps=7,569,408 | rew=0.07920 | loss=0.1738 | sps=7,039 | ent=0.0086 | log_std=-1.811 | t=1376s stepping
[0078/1525] steps=7,667,712 | rew=0.07879 | loss=0.1692 | sps=7,119 | ent=0.0086 | log_std=-1.809 | t=1390s stepping
[0079/1525] steps=7,766,016 | rew=0.07868 | loss=0.1616 | sps=7,174 | ent=0.0086 | log_std=-1.807 | t=1403s stepping
[0080/1525] steps=7,864,320 | rew=0.07861 | loss=0.1572 | sps=7,176 | ent=0.0086 | log_std=-1.805 | t=1417s stepping
[0081/1525] steps=7,962,624 | rew=0.07900 | loss=0.1574 | sps=7,185 | ent=0.0086 | log_std=-1.804 | t=1431s stepping
[0082/1525] steps=8,060,928 | rew=0.07945 | loss=0.1514 | sps=7,155 | ent=0.0085 | log_std=-1.802 | t=1444s stepping
